,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Isafjordur,66.0755,-23.124,39.96,74,100,4.45,IS,1685082276
1,Najaf,31.9985,44.3398,85.78,32,91,5.01,IQ,1685082277
2,Saint-Pierre,-21.3393,55.4781,76.68,65,0,16.11,RE,1685082142
3,São João da Barra,-21.6403,-41.0511,70.7,86,4,3.91,BR,1685082279
4,Adrar,20.5022,-10.0711,73.89,58,100,9.06,MR,1685082280
5,Choma,-16.8065,26.9531,64.89,44,1,5.23,ZM,1685082281
6,Klyuchi,52.2667,79.1667,65.55,26,17,14.88,RU,1685081692
7,Albany,42.6001,-73.9662,45.45,80,3,3.98,US,1685082206
8,Chibougamau,49.9168,-74.3659,35.22,87,0,4.61,CA,1685082285
9,Grytviken,-54.2811,-36.5092,36.34,83,77,7.65,GS,1685082286
10,San Patricio,28.017,-97.5169,80.46,83,69,6.69,US,1685082287
11,Port-aux-Français,-49.35,70.2167,41.16,99,98,19.22,TF,1685082288
12,Argos,37.6333,22.7333,71.78,51,0,4.07,GR,1685082158
13,Saint Paul Harbor,57.79,-152.4072,44.11,81,20,0.0,US,1685081787
14,Zabid,14.1951,43.3152,92.84,47,67,2.77,YE,1685082291
15,Talnakh,69.4865,88.3972,38.21,100,46,8.63,RU,1685082292
16,Carutapera,-1.195,-46.02,76.14,92,16,5.03,BR,1685082294
17,Wailua Homesteads,22.0669,-159.378,72.39,89,100,12.66,US,1685081791
18,Port Augusta,-32.5,137.7667,59.22,54,80,9.19,AU,1685082296
19,Nuku'alofa,-21.1333,-175.2,68.34,100,75,5.75,TO,1685082186
20,Ust'-Barguzin,53.45,108.9833,40.62,77,85,6.8,RU,1685082299
21,Keflavik,64.0049,-22.5624,43.23,93,100,11.5,IS,1685081796
22,Tripoli,32.8752,13.1875,67.24,76,43,20.62,LY,1685082137
23,George Town,5.4112,100.3354,84.15,75,40,5.75,MY,1685082291
24,West Island,-12.1568,96.8225,82.38,78,40,18.41,CC,1685081824
25,Northam,51.0333,-4.2167,56.61,80,21,5.21,GB,1685082043
26,Port Elizabeth,-33.918,25.5701,56.32,60,0,14.97,ZA,1685082306
27,Puerto Natales,-51.7236,-72.4875,30.2,88,35,6.73,CL,1685082164
28,Bredasdorp,-34.5322,20.0403,49.62,80,65,7.78,ZA,1685081803
29,Edinburgh of the Seven Seas,-37.0676,-12.3116,62.64,87,91,40.38,SH,1685082309
30,Bethel,41.3712,-73.414,52.65,78,0,0.0,US,1685082310
31,Lloydminster,53.2835,-110.0016,53.82,71,100,5.75,CA,1685082311
32,Notodden,59.5594,9.2585,54.97,77,54,5.88,NO,1685082312
33,Tiksi,71.6872,128.8694,33.19,92,100,9.64,RU,1685082313
34,Anadyr,64.75,177.4833,34.3,93,100,6.71,RU,1685081998
35,Cabo San Lucas,22.8909,-109.9124,78.62,61,99,4.0,MX,1685082070
36,Vernal,40.4555,-109.5287,61.66,41,0,6.91,US,1685082123
37,Margaret River,-33.95,115.0667,60.21,49,0,4.32,AU,1685082318
38,Qaqortoq,60.7167,-46.0333,33.67,90,99,6.13,GL,1685082319
39,Salalah,17.0151,54.0924,91.49,62,40,13.8,OM,1685082320
40,Ribeira Grande,38.5167,-28.7,62.78,77,40,7.0,PT,1685082321
41,Sitka,57.0531,-135.33,51.69,87,100,16.11,US,1685082322
42,Nichinan,31.6,131.3667,73.08,65,91,7.65,JP,1685082323
43,Punta Arenas,-53.15,-70.9167,32.11,86,20,11.5,CL,1685082126
44,Whitehorse,60.7161,-135.0538,50.77,75,100,17.27,CA,1685081857
45,Klaksvík,62.2266,-6.589,47.32,81,73,19.3,FO,1685082326
46,Stanley,54.868,-1.6985,52.72,90,0,3.44,GB,1685081755
47,Nebraska City,40.6767,-95.8592,66.24,82,0,4.61,US,1685082329
48,Kertih,4.5141,103.4483,87.82,79,20,5.75,MY,1685082330
49,Gunjur,13.2019,-16.7339,77.07,83,0,0.0,GM,1685082331
50,Ocean City,39.2776,-74.5746,55.99,83,5,1.99,US,1685082252
51,Lauro de Freitas,-12.8944,-38.3272,80.62,78,40,10.36,BR,1685082228
52,Waitangi,-43.9535,-176.5597,56.82,81,77,8.01,NZ,1685082334
53,Iqaluit,63.7506,-68.5145,35.33,80,100,13.8,CA,1685082335
54,Minas de Marcona,-15.2119,-75.1103,57.47,88,84,12.06,PE,1685082336
55,Yellowknife,62.456,-114.3525,46.92,76,20,8.05,CA,1685082337
56,Adamstown,-25.066,-130.1015,73.65,72,24,6.04,PN,1685082338
57,Ilulissat,69.2167,-51.1,30.22,93,100,6.91,GL,1685082340
58,Port Mathurin,-19.6833,63.4167,77.49,76,63,18.72,MU,1685082341
59,Longyearbyen,78.2186,15.6401,31.84,69,75,13.8,SJ,1685082094
60,Tomatlán,19.9333,-105.25,74.17,64,89,1.03,MX,1685082343
61,Piedras Negras,28.7,-100.5167,75.27,76,100,11.88,MX,1685082187
62,Debre Birhan,9.6833,39.5333,60.8,57,63,5.53,ET,1685082345
63,Sabana Yegua,18.7167,-71.0167,68.49,89,1,2.98,DO,1685082346
64,Pariaman,-0.619,100.12,87.85,71,71,5.57,ID,1685082347
65,Mount Pearl,47.5166,-52.7813,37.85,96,100,17.27,CA,1685082348
66,Syas'stroy,60.1367,32.5691,49.87,78,50,7.27,RU,1685082350
67,Waingapu,-9.6567,120.2641,83.48,61,78,17.22,ID,1685081835
68,Salekhard,66.53,66.6019,71.56,48,88,18.19,RU,1685082352
69,Avarua,-21.2078,-159.775,71.65,94,27,2.3,CK,1685082353
70,Berdigestyakh,62.0989,126.6992,54.48,28,0,8.95,RU,1685082354
71,Arroyito,-31.4202,-63.05,64.11,83,59,5.61,AR,1685082355
72,Leava,-14.3,-178.1667,77.34,89,100,10.98,WF,1685082356
73,Castillos,-34.1667,-53.8333,63.84,82,27,8.72,UY,1685082357
74,Rudnichnyy,59.617,52.4703,65.79,77,61,6.35,RU,1685082358
75,Monrovia,6.3005,-10.7969,73.17,84,100,3.47,LR,1685081873
76,Pastos Bons,-6.6017,-44.0767,71.85,75,9,4.25,BR,1685082360
77,Ust-Nera,64.5667,143.2,45.01,53,66,0.67,RU,1685082362
78,Mordovo,52.0834,40.77,68.61,78,43,6.2,RU,1685082363
79,Changyŏn,38.2508,125.0961,71.78,55,100,12.06,KP,1685082364
80,Hailin,44.5833,129.4167,73.9,34,81,14.81,CN,1685082365
81,Thunder Bay,48.4001,-89.3168,37.38,81,0,2.3,CA,1685082366
82,Puerto Ayora,-0.7393,-90.3518,77.56,95,34,4.0,EC,1685082367
83,Invercargill,-46.4,168.35,51.21,88,99,16.33,NZ,1685082369
84,Sinabang,2.4803,96.3801,84.61,73,88,2.84,ID,1685081834
